,INSTITUTION_NAME_ENCODED,GROUPBY_ENCODED,PROGRAM_AREA_ENCODED,PROGRAM_AREA_NAME_ENCODED,CREDENTIAL_ENCODED,RESPONDENTS,RESPONSE_RATE,AGE,FEMALE,MALE,Education_Satisfaction,Write_Clearly,Speak_Effectively,Work_Effectively,Critical_Thinking,Resolve_Issues,Self_Learning,Comprehension,Quality_Instruction,SELF_EMPLOYED,EMPLOY_FULL_TIME,JOB_PROGRAM_RELATED,USEFUL_PERFORM_JOB,IN_LABR_MKT,EMPLOYED,UNEMPLOYED,SALARY_WAGE,FURTH_STUDIES
37,3,2,8,9,1,10.0,0.5263,27.0,0.1111,0.8888,0.9,0.7142,0.8333,0.8888,0.9,0.8,0.7777,1.0,0.9,0.0,0.3299999999999999,0.8571,0.8571,0.9,0.7177,0.0,29.865,0.2
38,3,2,8,9,1,12.0,0.75,30.0,0.0,1.0,1.0,0.9166,0.5454,0.75,1.0,0.8333,0.8333,0.9166,0.9166,0.0,0.3299999999999999,0.2,0.5899875000000002,0.7332500000000001,0.5454,0.0,-99.0,0.8138125
39,3,2,8,9,1,21.0,0.4772,22.0,0.238,0.7619,1.0,0.95,0.8421,0.8421,0.9,0.85,0.85,1.0,1.0,0.0,0.3299999999999999,0.2857,0.6,0.7332500000000001,0.5086,0.0,-99.0,0.8138125
40,3,2,10,11,1,28.0,0.4827,27.0,0.66135,,0.9629,0.8928,0.9629,0.9642,0.9629,0.9259,0.9285,0.9629,1.0,0.0,0.6666,0.9615,0.9615,1.0,0.7177,0.0,23.6,0.1428
41,20,2,6,4,1,10.0,0.6666,24.0,0.66135,,0.9,1.0,1.0,0.9,0.9,0.9,0.8888,1.0,1.0,0.0,0.3299999999999999,0.875,0.875,1.0,0.7177,0.0,20.25,0.1
42,20,2,6,4,1,13.0,0.4193,35.0,0.66135,,1.0,1.0,1.0,1.0,1.0,1.0,0.923,1.0,1.0,0.0,0.6666,0.9,1.0,0.923,0.7177,0.0,26.25,0.6153
43,20,2,7,10,1,152.0,0.4794,31.0,0.9276,0.0723,0.9337,0.8449,0.9104,0.9395,0.9261,0.8933,0.8503,0.9034,0.9666,0.0,0.9043,0.9242,0.9621,0.9591,0.9,0.0425,25.83,0.1862
44,20,2,7,10,1,108.0,0.4655,29.0,0.9907,0.0092,0.9439,0.6923,0.7826,0.7882,0.8181,0.7912,0.8932,0.9207,0.9215,0.0,0.8494,0.9292,0.9595,0.9345,0.9345,0.0,24.81,0.1698
45,25,2,10,11,1,22.0,0.44,30.0,1.0,0.0,0.8636,0.95,0.5294,0.6247500000000001,1.0,0.8,1.0,0.8636,0.909,0.0,1.0,0.8095,0.8095,1.0,0.7177,0.0,33.23,0.2272
46,25,2,10,11,1,20.0,0.5,32.0,0.66135,,0.9,0.8421,0.75,0.95,0.9473,0.8,0.7230750000000001,0.85,1.0,0.0,0.6666,0.7272,0.9,0.8823,0.5789,0.0,25.0,0.3157
47,25,2,10,11,1,29.0,0.4027,23.0,1.0,0.0,0.8888,0.7692,0.8461,0.9642,0.8571,0.8214,0.9259,0.8214,0.8965,0.0,0.6666,0.913,0.9565,0.8888,0.8214,0.0,20.0,0.4482
48,25,2,10,11,1,12.0,0.6,27.0,1.0,0.0,0.8333,0.75,0.909,0.8333,0.9166,0.7272,0.909,0.8333,0.8333,0.0,0.3299999999999999,0.9,0.5899875000000002,0.9166,0.7177,0.0,26.92,0.25
49,26,2,0,1,1,41.0,0.6212,25.0,0.878,0.1219,0.9512,0.8888,1.0,0.9512,0.925,0.8684,0.9459,0.9459,1.0,0.0,0.55,0.3478,0.7272,0.7332500000000001,0.575,0.0,21.895,0.7317
50,26,2,0,1,1,21.0,0.6363,35.0,0.7619,0.238,0.9473,0.7894,0.7058,0.9047,0.8095,0.9047,0.8421,0.8947,1.0,0.0,0.6666,0.8823,0.9375,0.9523,0.7177,0.0,25.59,0.3333
51,26,2,0,1,1,13.0,0.5416,35.0,0.5384,0.4615,0.8461,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.0,0.6666,0.75,0.9166,1.0,0.7177,0.0,28.0,0.25
52,26,2,6,4,1,28.0,0.5714,35.0,1.0,0.0,1.0,0.9629,0.923,0.9285,0.8461,0.8461,0.923,1.0,1.0,0.0,1.0,0.8333,0.913,0.9259,0.7177,0.0,20.75,0.3703
53,26,2,6,4,1,41.0,0.6307,29.0,0.66135,,1.0,1.0,0.9736,0.9756,0.9512,0.975,0.9268,0.9756,1.0,0.0,0.6666,0.8571,0.9714,0.9512,0.7177,0.0,22.65,0.225
54,11,2,0,1,1,18.0,0.6206,22.0,0.66135,,1.0,0.9444,0.9444,0.7647,0.7647,0.8125,0.9411,0.8235,0.9444,0.0,0.6428,0.2666,0.7142,0.9444,0.7177,0.0,17.24,0.3333
55,11,2,6,4,1,11.0,0.5789,33.0,0.66135,,0.75275,0.7,0.6666,0.6247500000000001,0.909,0.9,0.909,0.909,1.0,0.0,0.6666,0.4,0.7,1.0,0.7177,0.0,21.125,0.1818
56,11,2,7,10,1,11.0,0.6875,22.0,0.66135,,0.75275,0.7272,0.8181,0.909,0.8181,0.8181,0.7230750000000001,0.909,0.909,0.0,0.3299999999999999,0.1777499999999999,0.5899875000000002,0.7777,0.7177,0.0,-99.0,0.7272
57,11,2,7,10,1,44.0,0.55,31.0,0.66135,,0.9772,0.7837,0.8888,0.9534,0.9772,1.0,0.9285,0.9756,0.9545,0.0,0.7941,0.95,0.975,0.9545,0.7177,0.0,25.415,0.2325
58,11,2,7,10,1,222.0,0.7424,34.0,0.8693,0.1306,0.9683,0.9431,0.9671,0.9819,0.9864,0.9728,0.9677,0.9534,0.9728,0.0,0.9581,0.9952,1.0,0.9818,0.9592,0.0005960000000000001,37.0,0.1382
59,14,2,11,20,1,11.0,0.7924500000000001,30.0,0.5454,0.4545,1.0,0.8333,0.8571,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3299999999999999,0.2857,0.6666,0.9,0.7177,0.0,-99.0,0.0909
60,15,2,6,4,1,47.0,0.6811,32.0,0.66135,,1.0,1.0,0.8085,0.8695,1.0,0.8936,0.9574,1.0,1.0,0.0,0.8529,0.9166,0.9722,0.913,0.7872,0.119,21.18,0.234
61,15,2,6,4,1,27.0,0.5625,26.0,0.4444,0.5555,0.75275,0.7307,0.7692,0.7692,0.8148,0.7307,0.8461,0.8461,0.8846,0.0,0.6666,0.5833,0.6666,0.8888,0.7177,0.0,17.415,0.5
62,15,2,7,10,1,46.0,0.6666,33.0,0.8695,0.1304,0.8863,0.9393,0.9523,0.9772,0.9565,0.913,0.9111,0.9777,0.9777,0.0,0.8108,0.9761,0.9767,0.9777,0.7177,0.0,25.68,0.2272
63,26,2,6,4,1,13.0,0.4482,30.0,0.66135,,0.9166,0.7692,0.8461,0.923,0.8333,0.6923,0.75,0.8461,1.0,0.0,0.3299999999999999,0.8571,1.0,0.7692,0.5384,0.0,21.925,0.2307
64,26,2,6,4,1,15.0,0.4838,31.0,0.66135,,0.8666,0.9333,0.7857,0.6428,0.8461,0.9166,0.8666,0.8571,0.9333,0.0,0.6666,0.7,0.8,0.9333,0.6666,0.0,24.05,0.2666
65,26,2,6,4,1,19.0,0.5588,30.0,0.66135,,0.8888,0.8888,0.6666,0.8235,0.8888,0.8421,0.7894,0.7894,1.0,0.0,0.6666,0.7857,0.9285,0.8947,0.7368,0.0,23.285,0.1052
66,26,2,7,10,1,140.0,0.549,27.0,0.9,0.1,0.9285,0.8076,0.9259,0.9214,0.9285,0.8623,0.8188,0.8913,0.928,0.0,0.8389,0.9847,0.9618,0.9779,0.9492,0.0005960000000000001,28.43,0.2877
67,20,2,7,10,1,208.0,0.7074,35.0,0.8398,0.1601,0.8792,0.89,0.7656,0.8712,0.8985,0.8786,0.9323,0.9059,0.9516,0.0,0.9032,0.954,0.9387,0.9759,0.9567,0.0005960000000000001,36.28,0.094
68,20,2,9,7,1,22.0,0.6666,29.0,0.7727,0.2272,0.9545,0.8235,0.8333,0.909,0.8095,0.8636,0.9,0.85,0.9047,0.0,0.7058,0.3529,0.7058,0.9,0.7177,0.0,22.255,0.2857
69,20,2,9,7,1,49.0,0.5568,26.0,0.8571,0.1428,0.9183,0.8409,0.7555,0.8775,0.8958,0.7708,0.851,0.851,0.9591,0.0,0.5897,0.8333,0.8333,0.9591,0.8571,0.1063,26.13,0.1063
70,20,2,10,11,1,14.0,0.6363,34.0,0.66135,,0.8461,0.923,0.8,0.6923,0.8571,0.8571,0.9285,0.8571,0.8333,0.0,0.6666,1.0,1.0,0.8571,0.7177,0.0,23.44,0.5714
71,25,2,0,1,1,16.0,0.7924500000000001,27.0,0.4375,0.5625,0.75275,0.7857,0.7272,0.9375,0.875,0.8125,0.875,0.875,0.9375,0.0,1.0,0.5454,0.8181,0.8125,0.6875,0.0,22.85,0.0666
72,25,2,6,4,1,13.0,0.5909,23.0,1.0,0.0,0.8333,0.9,0.9166,0.923,0.923,0.8461,0.8333,0.923,0.923,0.0,0.6666,0.75,0.8333,0.923,0.7177,0.0,17.25,0.3076
73,25,2,6,4,1,61.0,0.4728,34.0,0.918,0.0819,0.95,0.9322,0.9056,0.8965,0.8928,0.9642,0.9649,0.9272,1.0,0.0,0.8085,0.84,0.96,0.9661,0.8666,0.0877,23.375,0.2295
74,25,2,7,10,1,26.0,0.3376,27.0,1.0,0.0,0.8846,0.8947,0.909,0.92,0.9615,0.9615,1.0,0.92,0.923,0.0,0.6666,0.8695,0.826,0.92,0.7177,0.0,24.46,0.12
75,25,2,7,10,1,18.0,0.4186,35.0,0.66135,,0.8888,0.909,1.0,1.0,1.0,0.9375,0.9375,1.0,0.8888,0.0,0.6666,1.0,1.0,1.0,1.0,0.0,26.0,0.1111
76,25,2,7,10,1,15.0,0.4166,23.0,0.66135,,0.8666,0.9166,0.75,0.8571,0.8,0.7857,0.9285,0.8666,0.9285,0.0,0.6666,0.7333,0.7333,1.0,1.0,0.0,17.7,0.2142
77,18,2,11,20,1,18.0,0.5625,29.0,1.0,0.0,0.8888,0.6666,0.8181,0.9411,0.8823,0.8823,0.9444,0.8571,1.0,0.0,0.3299999999999999,0.4166,0.7272,0.7647,0.7058,0.0,24.325,0.1176
78,18,2,11,20,1,17.0,0.7083,30.0,0.4705,0.5294,0.8235,0.54125,0.5222125000000002,0.9333,1.0,0.9411,1.0,0.8461,1.0,0.0,0.6666,0.7272,0.8181,0.8235,0.7058,0.0,15.5,0.4117
79,18,2,11,20,1,14.0,0.6086,23.0,0.66135,,0.8571,0.8571,0.8888,0.9285,0.923,0.9285,0.9285,0.9166,1.0,0.0,0.4166,0.3571,0.6153,1.0,1.0,0.0,16.375,0.4285
80,20,2,0,1,1,11.0,0.4782,30.0,0.66135,,0.8181,1.0,0.8333,0.6247500000000001,0.75905,0.635875,0.8181,0.9,0.9,0.0,0.3299999999999999,0.4285,0.8571,0.7777,0.7177,0.0,29.0,0.6363
81,20,2,0,1,1,16.0,0.7619,27.0,1.0,0.0,1.0,0.923,0.923,0.875,1.0,0.9285,1.0,1.0,1.0,0.0,1.0,0.6666,0.8666,0.9375,0.7177,0.0,32.0,0.625
82,20,2,6,4,1,11.0,0.5789,35.0,0.5454,0.4545,0.909,1.0,0.625,0.625,1.0,0.909,1.0,0.909,0.9,0.0,1.0,0.8,1.0,1.0,0.7177,0.0,37.4,0.5454
83,26,2,7,10,1,45.0,0.3813,30.0,0.66135,,0.9772,0.8684,0.878,0.9069,0.8809,0.8292,0.8536,0.9523,0.9772,0.0,0.6666,0.8888,0.9444,0.909,0.8181,0.0,22.0,0.2
84,26,2,7,10,1,147.0,0.5464,35.0,0.7241,0.2758,0.9513,0.838,0.8695,0.9219,0.884,0.8768,0.9333,0.928,0.9655,0.0,0.9375,0.8872,0.9465,0.9788,0.9375,0.0005960000000000001,24.99,0.1118
85,26,2,8,9,1,12.0,0.4444,32.0,0.5833,0.4166,0.9166,0.8,0.8888,0.909,0.909,0.9166,0.9166,0.9166,0.9166,0.0,0.6666,0.4545,0.6363,1.0,0.7177,0.0,25.98,0.3333
86,26,2,8,9,1,23.0,0.575,29.0,0.4347,0.5652,0.826,0.65,0.7142,1.0,0.8636,0.826,0.909,0.9565,0.913,0.0,0.6666,0.5,0.6666,0.8181,0.6086,0.0,25.0,0.5217
87,26,2,8,9,1,24.0,0.6857,34.0,0.5,0.5,0.8695,0.6428,0.8823,0.875,0.9565,0.875,0.9583,0.9545,0.9166,0.0,0.6666,0.8888,0.9444,0.8695,0.75,0.0,25.0,0.2916
88,26,2,8,9,1,15.0,0.6,33.0,,0.31015000000000004,1.0,0.9285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666,0.7,0.8888,0.7333,0.6666,0.0,23.55,0.5833
89,26,2,9,7,1,45.0,0.5844,35.0,0.7555,0.2444,1.0,0.9117,0.8888,0.8857,1.0,0.9756,1.0,1.0,1.0,0.0,0.825,0.9069,0.9767,1.0,0.7177,0.0,43.75,0.2888
90,26,2,10,11,1,13.0,0.3095,28.0,1.0,0.0,0.9166,0.5833,0.5222125000000002,0.6923,0.7692,0.635875,0.9166,0.923,0.923,0.0,1.0,0.75,0.75,1.0,1.0,0.0,-99.0,0.0769
91,26,2,10,11,1,33.0,0.3473,35.0,0.66135,,0.909,0.6666,0.6666,0.7407,0.875,0.7419,0.8787,0.8709,0.9393,0.0,1.0,0.9677,0.9032,0.9696,0.7177,0.0,31.99,0.2424
92,26,2,10,11,1,57.0,0.5643,29.0,0.807,0.1929,0.8596,0.875,0.6904,0.653,0.75905,0.8039,0.8148,0.9074,0.9122,0.0,0.6666,0.7619,0.8095,0.9444,0.75,0.167625,23.0,0.228
93,26,2,10,11,1,50.0,0.4901,35.0,1.0,0.0,0.96,0.8958,0.92,0.96,0.94,0.9387,0.9795,0.9795,0.96,0.0,0.7619,0.9545,0.9772,0.9583,0.7177,0.0,23.225,0.3617
94,2,2,5,19,1,116.0,0.5248,29.0,0.3826,0.6173,0.9391,0.8076,0.9014,0.9238,0.9029,0.927,0.8811,0.9519,0.9741,0.0,0.9259,0.7111,0.8068,0.9824,0.7826,0.167625,29.0,0.2894
95,2,2,6,4,1,22.0,0.4888,35.0,0.409,0.5909,0.9545,0.75,0.7894,0.909,0.9545,0.909,0.95,0.9047,0.9545,0.0,1.0,0.9444,0.9444,1.0,0.7177,0.0,43.5,0.5
96,2,2,6,4,1,34.0,0.5312,32.0,0.5882,0.4117,0.75275,0.5652,0.68,0.7575,0.8235,0.8125,0.7647,0.8064,0.8015249999999999,0.0,0.6666,0.5937,0.6562,1.0,0.7177,0.0,34.315,0.2121
97,2,2,6,4,1,115.0,0.5808,35.0,0.5478,0.4521,0.9469,0.79,0.83,0.9189,0.8504,0.8141,0.8461,0.8942,0.9736,0.0,1.0,0.8469,0.9175,0.9649,0.8596,0.109,36.08,0.2347
98,2,2,6,4,1,223.5,0.4918,27.0,0.4421,0.5578,0.9456,0.9059,0.8846,0.8644,0.8851,0.868,0.8991,0.9063,0.9709,0.0,0.9567,0.7731,0.8358,0.9692,0.8565,0.1085,18.705,0.1021
99,2,2,6,4,1,92.0,0.4401,28.0,0.4565,0.5434,0.901,0.912,0.9456,0.8043,0.901,0.7934,0.8888,0.945,0.967,0.0,0.6666,0.48,0.7567,0.9662,0.8241,0.1279,19.895,0.0674
100,2,2,6,4,1,10.0,0.3846,31.0,0.66135,,1.0,0.8333,0.5222125000000002,0.7777,0.8888,0.875,0.75,1.0,1.0,0.0,0.6666,0.7,0.9,1.0,1.0,0.0,29.29,0.1
101,2,2,6,4,1,51.0,0.5312,28.0,0.6274,0.3725,0.9,0.9591,0.9215,0.9411,0.8775,0.9,0.9215,0.92,0.9215,0.0,0.6666,0.5882,0.8285,0.913,0.7608,0.1666,21.01,0.26
102,2,2,6,4,1,79.0,0.403,27.0,0.6582,0.3417,0.948,0.8289,0.8108,0.8701,0.8441,0.7763,0.8974,0.9066,0.9493,0.0,0.8115,0.7605,0.8571,0.961,0.935,0.0,24.855,0.6075
103,2,2,6,4,1,42.0,0.6176,35.0,0.8095,0.1904,0.9512,0.8064,0.606,0.6486,0.9047,0.8717,0.8333,0.9268,0.9523,0.0,0.6666,0.8611,0.9722,1.0,0.7177,0.0,25.0,0.4047
104,2,2,6,4,1,223.5,0.5403,31.0,0.7777,0.2222,0.9545,0.8449,0.8352,0.8836,0.8964,0.8888,0.9025,0.9381,0.9686,0.0,0.9529,0.759,0.88,0.9753,0.9014,0.0758,25.33,0.1894
105,2,2,6,4,1,34.0,0.5573,28.0,0.5,0.5,0.909,0.7812,0.7741,0.7812,0.8666,0.7812,0.9687,0.9375,1.0,0.0,0.6666,0.64,0.76,0.8787,0.7647,0.0,20.1,0.2058
106,2,2,6,4,1,56.0,0.6153,34.0,0.8571,0.1428,0.9272,0.659,0.7826,0.8518,0.8163,0.8085,0.9056,0.8125,0.9642,0.0,0.6666,0.8666,0.8636,0.9814,0.8518,0.132,24.31,0.3392
107,4,3,6,4,2,223.5,0.4187,26.0,0.5417,0.4582,0.8856,0.906,0.9051,0.8816,0.875,0.8236,0.9007,0.8762,0.9474,0.0,0.9652,0.7027,0.8515,0.9702,0.9019,0.0612,19.24,0.0843
108,4,3,7,10,2,31.0,0.5438,26.0,0.66135,,0.9677,0.8333,0.9677,0.9677,0.9354,0.9032,0.8709,0.9032,0.9677,0.0,0.7307,0.931,0.9655,0.9354,0.7177,0.0,27.0,0.4838
109,4,3,8,9,2,25.0,0.5434,21.0,,0.31015000000000004,0.92,0.6666,0.5416,0.84,0.88,0.88,0.875,0.8333,0.96,0.0,0.3299999999999999,0.2727,0.6363,0.7332500000000001,0.5086,0.0,20.0,0.76
